Generation;Lower fitness;Higher fitness;Average fitness
0;20;667;96,19902533
1;20;523;113,1252064
2;20;523;125,3129642
3;20;443;130,2946432
4;20;443,6000061;138,4880719
5;20;663,6567993;135,5727196
6;20;499,0164185;147,2220061
7;20;907;167,5649278
8;20;460,7570496;162,7260106
9;20;667;162,9037475
10;20;449,332489;171,3159682
11;20;523;164,0075126
12;20;443;167,134938
13;20;443,6000061;169,1636521
14;20;806,7261963;187,5964358
15;20;1050,54126;176,0885359
16;20;1050,54126;187,1337007
17;20;523;179,6327881
18;20;922,7453613;197,2669865
19;20;811;186,457951
20;20;443,6000061;194,066796
21;20;667;196,0909189
22;20;523;195,8825116
23;20;1259,599976;209,6912014
24;20;1259,599976;197,7573576
25;25,38536835;1259,599976;215,4028703
26;20;1259,599976;221,7414621
27;20;1259,599976;218,9890828
28;20;718,5493774;211,6956327
29;20;907;216,3616425
30;20;443;200,2498701
31;20;667;209,7369693
32;20;524,1339722;220,8277521
33;20;667;221,5973902
34;20;663,5319824;224,7658283
35;20;811;227,84188
36;20;908,1339722;228,9607628
37;20;908,1339722;238,1651099
38;20;908,1339722;240,8200303
39;20;924,5407715;242,6158897
40;20;924,5407715;255,1473417
41;20;1067,06604;269,2846773
42;25,38536835;1067,06604;264,3927609
43;26,51936913;1067,06604;287,1182714
44;30,86599922;1067,06604;285,1451882
45;25,38536644;972,1339722;278,2287657
46;32;1067;282,293146
47;32;1067;322,2256694
48;20;1067;293,571528
49;34,62538147;907;303,5135567
50;25,38536835;1259;309,6607559
51;33,13399887;1259,599976;322,6744496
52;25,38536835;1259,599976;359,4339117
53;20;1259,599976;369,6456154
54;20;1065,800049;353,0717926
55;30,86599922;1067,154175;359,0934922
56;32;972,1339722;349,6842618
57;30,86599922;1067;371,5592523
58;33,13399887;1067;367,5777516
59;25,38536835;1067;379,9521867
60;41,60895157;1115,599976;357,1437716
61;30,9319973;1067;368,3921726
62;20;1195;373,8605053
63;38,61463165;1227;376,6438006
64;35,40356827;1067;377,7470313
65;25,38536835;1067,599976;391,6359506
66;20;1403;421,751333
67;30,86599922;1403;394,7014118
68;25,38536835;1403;385,3189363
69;33,13399887;1259,599976;381,8931984
70;20;1067,599976;386,2700731
71;32,5340004;1304,256714;378,3490919
72;123,611702;1067,06604;393,8369885
73;35,34336472;1067,06604;394,2669866
74;32;1067,599976;415,3357764
75;20;1067;423,5744115
76;37,41463089;1259;397,5121705
77;94,79455566;1259;426,5060869
78;54,47913361;1259;420,165525
79;31,93400002;2945,001709;421,6509582
80;30,86599922;2945,001709;413,6501725
81;25,38536835;1227,599976;416,4425194
82;49,28586578;1227;471,3577182
83;131,3056946;1224,136963;486,0883274
84;25,38536644;1115;479,3918551
85;33,13399887;1067,06604;476,0096438
86;20;1067,06604;510,6924002
87;20;1115,599976;489,605374
88;38,65282059;1195;513,3899349
89;61,83955002;1227,599976;526,4056519
90;32;1259,599976;519,0984268
91;120,5708771;1067,599976;545,6184
92;32;1067,06604;558,5022733
93;44,17441177;1115,599976;562,9875746
94;180,4878235;2230,102783;566,1650787
95;32;2943,867676;630,8149126
96;203;2943,867676;674,3754057
97;25,38536835;1215,884155;638,3068308
98;30,86599922;1227,222534;653,4607757
99;49,20524216;1227,599976;729,4985281
100;203;1227,222534;656,4482112
101;190,9372559;1828,15625;697,5035126
