Generation;Lower fitness;Higher fitness;Average fitness
0;0,0;3248,486572265625;113,17568696781441
1;0,0;316,1340026855469;125,5680894586775
2;0,0;1963,092041015625;145,59546545081668
3;0,0;1963,1741943359375;159,73098014548972
4;0,0;1963,092041015625;168,9041454527113
5;0,0;1963,092041015625;183,38258436785804
6;0,0;1755,5999755859375;214,39029563709542
7;0,0;1963,0;210,06718382702934
8;0,0;1755,0;184,63707574650093
9;0,0;1339,0201416015625;170,78904290287582
10;0,0;1755,0;190,09567619959515
11;0,0;1963,0;204,09830827271497
12;0,0;2155,60009765625;241,33620605910266
13;0,0;2027,0;267,10744033742833
14;0,0;1963,0;262,76501842074924
15;0,0;1963,0;291,70384067694346
16;0,0;2459,0;306,71472899472275
17;0,0;2459,0;371,7653623651575
18;0,0;2435,093017578125;363,79245370229086
19;0,0;2587,0;384,23478649633904
20;0,0;2588,134033203125;352,92132145916975
21;0,0;3387,0;446,4545144893505
22;0,0;2808,772705078125;396,4356687757704
23;0,0;2459,0;412,9324516084459
24;0,0;2459,0;423,025985315111
25;0,0;3003,0;454,8338506981178
26;0,0;2587,0;422,2435558495698
27;0,0;3387,0;458,00291860368515
28;10,176555633544922;3820,26220703125;532,7967918395996
29;0,0;2272,696533203125;533,6786259192007
30;0,0;2474,84521484375;588,0404928772538
31;0,0;3131,0;567,0996086403176
32;0,0;2471,882568359375;578,9032419743361
33;15,337764739990234;2786,63427734375;607,2401489681667
34;33,13399887084961;2588,134033203125;656,3079169661911
35;0,0;3227,0;706,1227024784795
36;25,38536834716797;3420,134033203125;764,8879144315366
37;32,0;3003,60009765625;883,1453658492477
38;32,0;3003,60009765625;900,481171742192
39;0,0;3003,60009765625;896,9964579970748
40;0,0;3131,0;897,8000501562047
41;0,0;3249,6865234375;959,0104937800654
42;0,0;3228,199951171875;920,1994861744068
43;0,0;3228,199951171875;1018,3114679689761
44;99,57318878173828;3131,0;1125,0397261160392
45;1,1340000629425049;3003,0;1081,911575632625
46;0,0;3131,0;1204,2763389728686
47;0,0;3420,134033203125;1136,6267075150101
48;6,614630699157715;4043,0;1301,5504833468685
49;8,102373123168945;3738,668212890625;1329,597397931417
50;0,0;3625,589111328125;1267,1364624871148
51;0,0;3131,0;1452,8056845629658
52;0,0;3738,66748046875;1448,8466821176035
53;0,0;3131,0;1416,790347035726
54;13,38463306427002;3131,0;1560,7894987106324
55;28,810420989990234;3227,0;1536,4669479935258
56;87,49051666259766;3131,0;1661,0159706115724
57;30,865999221801758;3634,959228515625;1729,5196441721034
58;0,0;4256,0;1644,1199297869648
