Generation;Lower fitness;Higher fitness;Average fitness
0;0,0;1561,2449951171875;135,78352404876992
1;0,0;1275,0;151,71520501066138
2;0,0;1336,9913330078125;170,02323990486286
3;0,0;1988,88916015625;215,68089419470894
4;0,0;2158,016845703125;232,3834474077931
5;0,0;2158,016845703125;257,0957446257273
6;0,0;2071,93310546875;274,65561023111695
7;0,0;1985,542236328125;357,9708036820094
8;0,0;1723,0;344,60087907667514
9;0,0;1723,0;343,9735165401741
10;0,0;1275,5999755859375;347,15760456897596
11;0,0;1275,0;324,78018281481883
12;0,0;2163,792236328125;367,0714475137216
13;0,0;2181,146728515625;419,1844527465326
14;0,0;2181,146728515625;434,36420427251744
15;0,0;2219,0;439,1050480144995
16;0,0;2491,0;433,6756443279761
17;0,0;2491,0;502,6101914723714
18;0,0;2418,636962890625;512,3196334026478
19;0,0;2491,0;540,6570041585852
20;0,0;2491,0;542,3849602955358
21;0,0;2387,694580078125;545,342787332888
22;0,0;2267,0;606,4543837370696
23;0,0;2611,825439453125;669,2739211894848
24;0,0;2491,0;580,3060887725266
25;32,0;2899,09765625;660,2848734396475
26;0,0;2439,66064453125;734,6467063338669
27;0,0;2491,0;736,6183756227847
28;0,0;2619,65087890625;702,404289676525
29;1,1340000629425049;2491,0;711,2886157468513
30;0,0;2491,0;776,5433463591116
31;0,0;2419,008056640625;723,5463737311187
32;0,0;2267,3212890625;724,1445174181903
33;0,0;2434,371826171875;760,4594818680374
34;0,0;2434,371826171875;805,7286844606753
35;32,0;2267,0;802,4071095501935
36;0,0;2747,0;877,9604902267456
37;0,0;2425,516845703125;904,1125469631619
38;0,0;2425,516845703125;929,2374964325517
39;0,0;2267,0;975,2436045046206
40;6,614630699157715;2615,01416015625;1028,1105486516599
41;0,0;2615,01416015625;1107,108404329088
42;32,0;2615,01416015625;1062,6742130985967
43;25,38536834716797;2422,158447265625;1080,093610156024
44;0,0;2418,636962890625;1121,6012461626972
45;0,0;2418,636962890625;1062,67504674417
46;0,0;2619,65087890625;1156,858363116229
47;60,29704666137695;2809,47705078125;1295,5897483684398
48;49,285865783691406;2809,47705078125;1283,5838120354547
49;0,0;2615,68310546875;1205,00219023316
50;32,0;2615,68310546875;1249,7881191960087
51;71,10078430175781;2633,10791015625;1301,0289302119502
52;0,0;2633,10791015625;1431,1062443274038
53;38,61463165283203;2620,862548828125;1347,9754813017669
54;6,071065902709961;2620,862548828125;1366,8992447676483
55;0,0;2620,862548828125;1374,9369895228633
56;0,0;2620,862548828125;1426,79286308995
57;0,0;2905,44677734375;1407,2594539218478
58;0,0;2620,862548828125;1324,3860339623911
59;38,61463165283203;2620,862548828125;1419,3895521093298
60;180,48782348632812;2418,636962890625;1496,8628368801542
61;0,0;2486,836181640625;1482,4945399531612
62;0,0;2491,0;1472,3155926739728
63;3,4687070846557617;2491,0;1566,6752103946826
64;175,26803588867188;2418,636962890625;1524,3841535780166
65;191,27093505859375;2620,862548828125;1598,6171695285373
66;25,38536834716797;2619,65087890625;1600,8843151798956
67;32,0;2615,68310546875;1492,8093659012407
68;32,0;2638,39892578125;1658,5946163036206
69;25,38536834716797;2611,271484375;1671,991958589907
70;60,28656005859375;2472,44677734375;1727,410127653899
71;25,38536834716797;2619,65087890625;1636,6474925005878
72;0,0;2615,68310546875;1585,8227845933702
73;38,61463165283203;2491,0;1561,855127292209
74;0,0;2445,209228515625;1657,998050491898
75;38,61463165283203;2611,271484375;1718,8985543992785
76;49,285865783691406;2419,008544921875;1691,166682462339
77;0,0;2619,65087890625;1727,365476876718
78;49,285865783691406;2619,65087890625;1778,7898867006654
79;-0,9642413854598999;2827,0;1827,6978432041628
80;38,61463165283203;2619,65087890625;1829,8124812655979
81;0,0;2619,65087890625;1787,2880186858001
82;0,0;2619,65087890625;1766,5604817143194
83;0,0;2619,65087890625;1668,786092715793
84;32,0;2491,0;1809,8248435974122
85;29,67188835144043;2491,0;1871,2025422202216
86;180,50010681152344;2491,0;1852,268580062301
87;53,41851043701172;2452,021728515625;1805,4067077354148
88;191,24156188964844;2452,021728515625;1787,907309242531
89;0,0;2424,38720703125;1737,6437540548818
90;32,0;2419,008544921875;1751,1805336563675
91;38,61463165283203;2611,271484375;1772,592806922065
92;0,0;2472,64306640625;1820,263862157751
93;0,0;2632,67529296875;1801,235471033167
94;45,4654541015625;2455,697265625;1832,8865950972945
95;66,91168212890625;2455,697265625;1821,8218826859086
96;51,88715362548828;2827,0;1847,9748796251085
97;0,0;2638,550048828125;1880,0771623964663
98;77,7278823852539;2434,371826171875;1902,989828519468
99;49,285865783691406;2434,371826171875;1891,5455680847167
100;0,0;2619,65087890625;1772,5911354064942
101;32,0;2611,623046875;1835,4634242305049
102;49,285865783691406;2472,359619140625;1832,349437487567
103;203,0;3030,7587890625;1859,8778315791378
104;197,88555908203125;2465,201904296875;1773,8353435375072
105;66,57172393798828;2619,65087890625;1752,543300289578
106;66,57172393798828;2619,65087890625;1782,5934797216344
107;0,0;2619,65087890625;1747,4771999782986
108;32,0;2434,397216796875;1789,8551312481916
109;32,0;2470,756591796875;1765,7658756114818
110;0,0;2461,427001953125;1790,2175416734483
111;32,0;2427,136962890625;1786,334723635073
112;38,61463165283203;2619,65087890625;1846,5806824013039
113;32,0;2619,65087890625;1945,372316261574
114;202,0418243408203;2619,65087890625;1844,8593549940322
115;32,0;2619,65087890625;1761,1857703880028
116;99,44297790527344;2619,65087890625;1876,6035042656792
117;88,38665771484375;2619,65087890625;1872,3287688078703
118;38,85082244873047;2427,26025390625;1726,8373793990525
119;38,85082244873047;2427,26025390625;1742,5421382197628
120;60,28656005859375;2619,65087890625;1778,7245738276729
